source,target,type,timestamp,phase,note,youtube
40,7,collaborates,"June 20, 2026",Post-Debate,Schooping appears on Wood stream explaining exit from Eastern Orthodoxy,
7,1,attacks,"June 26, 2026",Post-Debate,Wood amplifies Noah Jefferson 'Orthobro cult' critique and claims Orthobros are 'brainwashed' re: Dyer,
7,9,attacks,"July 26–27, 2026",Post-Debate,Wood: Sam calls Avery a grifter; Muslims cheer; Sam allegedly teams with DawahBros and OrthoBros to 'expose' GodLogic — major Wood-circle fracture,
9,8,attacks,"July 26–30, 2026",Post-Debate,Sam Shamoun public attacks on GodLogic (grifter / disobedience claims); widely circulated as a summer flashpoint,
7,8,defends,"July 26–28, 2026",Post-Debate,Wood defends Avery against Sam and Orthobros-aligned pressure; continues joint streaming,
7,39,collaborates,"July 28, 2026",Post-Debate,"Wood LIVE with InspiringPhilosophy, GodLogic, Apostate Prophet — consolidated Wood-circle response stream",
8,39,collaborates,"July 28, 2026",Post-Debate,GodLogic co-appears on Wood multi-apologist live with IP and Apostate Prophet,
10,7,collaborates,"July 28, 2026",Post-Debate,Apostate Prophet on Wood live with GodLogic and InspiringPhilosophy,
1,8,attacks,"August 2, 2026",Post-Debate,Dyer: Sam Shamoun 'came around' that GodLogic is a grifter; metrics comparison vs GodLogic; continued public pressure,
1,9,defends,"August 2, 2026",Post-Debate,Dyer publicly endorses Sam's turn against GodLogic — temporary Orthobros–Shamoun alignment signal,
1,8,attacks,"August 3–4, 2026",Post-Debate,"Dyer live stream: 'The Spain ISSUE, Godlogic & Trent Horn Refuted…' — major content attack on Avery",
1,41,attacks,"August 3–4, 2026",Post-Debate,Same stream pairs Trent Horn with GodLogic as targets of Dyer's critique,
5,8,attacks,"August 3, 2026",Post-Debate,C2Antiquity streams/posts debunking GodLogic 'Orthobros worse than Muslims' / churchless apologetics framing,
42,1,defends,"August 2, 2026",Post-Debate,FacingEast amplifies Dyer debate offers to GodLogic and icons-debate narrative vs Wood,
42,8,attacks,"August 2, 2026",Post-Debate,FacingEast: pressure on Avery to engage; frames silence as evidence of grift,
7,1,debates,Summer 2026 (scheduled),Post-Debate,Public discourse around a forthcoming Wood vs Dyer icons debate (community reports pointing to autumn date) — escalates stakes beyond May proxy debate,
